sku,custo_anterior,custo_novo
MADOB7BIMA,,0.05
1180,,0.27
1180,,0.27
49427,,0.45
49427,,0.45
52531,,0.12
52531,,0.12
MADOB7BIMA,,0.05
MADOB7BIMA,,0.05
0108,,0.31
0108,,0.31
0108,,0.31
1180,,0.27
1180,,0.27
1180,,0.27
37877,,0.73
37877,,0.73
37877,,0.73
41455,,0.16
41455,,0.16
41455,,0.16
64371,,0.09
64371,,0.09
64371,,0.09
Transparente,,0.04
Transparente,,0.04
Transparente,,0.04
MCAPRI2004,,12.36
MCAPRI2004,,12.36
MCAPRI2004,,12.36
MCAPRI2004,,12.36
MCAPRI2015,,14.0
MCAPRI2015,,14.0
MCAPRI2015,,14.0
MCAPRI2007,,1.15
1180,,0.27
27102,,0.05
37877,,0.73
41455,,0.16
49427,,0.45
1180,,0.27
1180,,0.27
27102,,0.05
27102,,0.05
41455,,0.16
41455,,0.16
49427,,0.45
49427,,0.45
1180,,0.27
1180,,0.27
1180,,0.27
1180,,0.27
171,,0.08
171,,0.08
171,,0.08
171,,0.08
27102,,0.05
27102,,0.05
27102,,0.05
27102,,0.05
Transparente,,0.04
Transparente,,0.04
Transparente,,0.04
Transparente,,0.04
1180,,0.27
1551,,0.4103
27102,,0.05
41455,,0.16
49427,,0.45
52531,,0.12
1180,,0.27
1180,,0.27
1180,,0.27
1180,,0.27
27102,,0.05
27102,,0.05
27102,,0.05
27102,,0.05
41455,,0.16
41455,,0.16
41455,,0.16
41455,,0.16
49427,,0.45
49427,,0.45
49427,,0.45
49427,,0.45
1180,,0.27
1180,,0.27
1180,,0.27
171,,0.08
171,,0.08
171,,0.08
27102,,0.05
27102,,0.05
27102,,0.05
41455,,0.16
41455,,0.16
41455,,0.16
52531,,0.12
52531,,0.12
52531,,0.12
63432,,0.11
63432,,0.11
63432,,0.11
MADOB7BIMA,,0.05
MADOB7BIMA,,0.05
MADOB7BIMA,,0.05
0108,,0.31
49427,,0.45
763,,0.13
Transparente,,0.04
0108,,0.31
0108,,0.31
0108,,0.31
1551,,0.4103
1551,,0.4103
1551,,0.4103
41455,,0.16
41455,,0.16
41455,,0.16
49427,,0.45
49427,,0.45
49427,,0.45
MCAPRI2006,,14.64
MCAPRI2006,,14.64
MCAPRI2006,,14.64
Transparente,,0.04
Transparente,,0.04
Transparente,,0.04
27102,,0.05
41455,,0.16
49427,,0.45
Transparente,,0.04
158.1,,0.13
158.1,,0.13
158.1,,0.13
171,,0.08
171,,0.08
171,,0.08
52531,,0.12
52531,,0.12
52531,,0.12
Transparente,,0.04
Transparente,,0.04
Transparente,,0.04
27102,,0.05
27102,,0.05
27102,,0.05
27102,,0.05
41455,,0.16
41455,,0.16
41455,,0.16
41455,,0.16
52531,,0.12
52531,,0.12
52531,,0.12
52531,,0.12
1180,,0.27
171,,0.08
27102,,0.05
41455,,0.16
44903,,0.09
52531,,0.12
63432,,0.11
MADOB7BIMA,,0.05
1180,,0.27
27102,,0.05
52531,,0.12
1180,,0.27
1180,,0.27
1180,,0.27
0108,,0.31
0108,,0.31
0108,,0.31
1180,,0.27
64338,,0.61
Transparente,,0.04
1180,,0.27
1293944,,0.71
49427,,0.45
573429,,0.05
763,,0.13
1180,,0.27
1180,,0.27
27102,,0.05
27102,,0.05
41455,,0.16
41455,,0.16
63432,,0.11
63432,,0.11
0108,,0.31
1180,,0.27
37877,,0.73
A132T,,30.0
A132T,,30.0
A171,,16.0
A171,,16.0
A172(A470),,18.0
A172(A470),,18.0
MAPESPRJ,,6.0
1103098,,2.32
1103098,,2.32
1231991,,1.69
1231991,,1.69
50571,,0.19
50571,,0.19
1091069,,2.39
1091069,,2.39
1231311,,2.19
1231311,,2.19
1253924,,1.69
1253924,,1.69
52531,,0.12
52531,,0.12
1178661,,1.04
1178661,,1.04
50571,,0.19
50571,,0.19
1103098,,2.32
1103098,,2.32
1188172,,1.39
1188172,,1.39
50571,,0.19
50571,,0.19
1259650,,1.59
1259650,,1.59
1268492,,1.23
1268492,,1.23
1475,,0.27
1475,,0.27
148V,,1.49
148V,,1.49
1103098,,2.32
1103098,,2.32
1153774,,1.49
1153774,,1.49
1247725,,2.29
1247725,,2.29
1091069,,2.39
1091069,,2.39
1103098,,2.32
1103098,,2.32
1178661,,1.04
1178661,,1.04
1188172,,1.39
1188172,,1.39
1231311,,2.19
1231311,,2.19
1231991,,1.69
1231991,,1.69
1253924,,1.69
1253924,,1.69
1268492,,1.23
1268492,,1.23
1309546,,0.99
1309546,,0.99
1475,,0.27
1475,,0.27
148V,,1.49
148V,,1.49
50571,,0.19
50571,,0.19
0108,,0.31
1103098,,2.32
1177978,,1.89
1190809,,2.89
1199857,,1.59
1231946,,1.79
1259711,,1.99
1268492,,1.23
1268768,,2.29
1285598,,1.69
1293944,,0.71
1309522,,0.99
1475,,0.27
148V,,1.49
763,,0.13
934800,,1.85
969314,,2.69
1091069,,2.39
1103098,,2.32
1178661,,1.04
1188172,,1.39
1231311,,2.19
1231991,,1.69
1253924,,1.69
1268492,,1.23
1309546,,0.99
1475,,0.27
148V,,1.49
50571,,0.19
1091069,,2.39
1091069,,2.39
1103098,,2.32
1103098,,2.32
1178661,,1.04
1178661,,1.04
1188172,,1.39
1188172,,1.39
1231311,,2.19
1231311,,2.19
1231991,,1.69
1231991,,1.69
1253924,,1.69
1253924,,1.69
1268492,,1.23
1268492,,1.23
1309546,,0.99
1309546,,0.99
1475,,0.27
1475,,0.27
148V,,1.49
148V,,1.49
50571,,0.19
50571,,0.19
0108,,0.31
1103098,,2.32
1177978,,1.89
1190809,,2.89
1199857,,1.59
1231946,,1.79
1259711,,1.99
1268492,,1.23
1268768,,2.29
1285598,,1.69
1293944,,0.71
1309522,,0.99
1475,,0.27
148V,,1.49
763,,0.13
934800,,1.85
969314,,2.69
1091069,,2.39
1091069,,2.39
1103098,,2.32
1103098,,2.32
1178661,,1.04
1178661,,1.04
1188172,,1.39
1188172,,1.39
1199857,,1.59
1199857,,1.59
1231311,,2.19
1231311,,2.19
1231991,,1.69
1231991,,1.69
1253924,,1.69
1253924,,1.69
1268768,,2.29
1268768,,2.29
1285598,,1.69
1285598,,1.69
1475,,0.27
1475,,0.27
50571,,0.19
50571,,0.19
934800,,1.85
934800,,1.85
1091069,,2.39
1091069,,2.39
1103098,,2.32
1103098,,2.32
1178661,,1.04
1178661,,1.04
1188172,,1.39
1188172,,1.39
1231311,,2.19
1231311,,2.19
1253924,,1.69
1253924,,1.69
1268492,,1.23
1268492,,1.23
1309522,,0.99
1309522,,0.99
1309546,,0.99
1309546,,0.99
1475,,0.27
1475,,0.27
148V,,1.49
148V,,1.49
50571,,0.19
50571,,0.19
50571,,0.19
50571,,0.19
763,,0.13
763,,0.13
934800,,1.85
934800,,1.85
969314,,2.69
969314,,2.69
0108,,0.31
0108,,0.31
1103098,,2.32
1103098,,2.32
1153774,,1.49
1153774,,1.49
1177978,,1.89
1177978,,1.89
1178661,,1.04
1178661,,1.04
1188172,,1.39
1188172,,1.39
1190809,,2.89
1190809,,2.89
1247725,,2.29
1247725,,2.29
1268492,,1.23
1268492,,1.23
1309546,,0.99
1309546,,0.99
1475,,0.27
1475,,0.27
148V,,1.49
148V,,1.49
50571,,0.19
50571,,0.19
934800,,1.85
934800,,1.85
1091069,,2.39
1091069,,2.39
1103098,,2.32
1103098,,2.32
1153774,,1.49
1153774,,1.49
1231311,,2.19
1231311,,2.19
1231946,,1.79
1231946,,1.79
1231991,,1.69
1231991,,1.69
1247725,,2.29
1247725,,2.29
1253924,,1.69
1253924,,1.69
1259711,,1.99
1259711,,1.99
1268492,,1.23
1268492,,1.23
1293944,,0.71
1293944,,0.71
1309546,,0.99
1309546,,0.99
1475,,0.27
1475,,0.27
148V,,1.49
148V,,1.49
50571,,0.19
50571,,0.19
934800,,1.85
934800,,1.85
1091069,,2.39
1091069,,2.39
1103098,,2.32
1103098,,2.32
1153774,,1.49
1153774,,1.49
1178661,,1.04
1178661,,1.04
1231311,,2.19
1231311,,2.19
1247725,,2.29
1247725,,2.29
1253924,,1.69
1253924,,1.69
1268492,,1.23
1268492,,1.23
1309522,,0.99
1309522,,0.99
1309546,,0.99
1309546,,0.99
1475,,0.27
1475,,0.27
148V,,1.49
148V,,1.49
148V,,1.49
148V,,1.49
50571,,0.19
50571,,0.19
934800,,1.85
934800,,1.85
1103098,,2.32
1103098,,2.32
1103098,,2.32
1103098,,2.32
1253924,,1.69
1253924,,1.69
1253924,,1.69
1253924,,1.69
1259650,,1.59
1259650,,1.59
1259650,,1.59
1259650,,1.59
45516,,0.42
45516,,0.42
45516,,0.42
45516,,0.42
158.1,,0.13
158.1,,0.13
158.1,,0.13
889590,,1.51
158.1,,0.13
859650,,1.49
889590,,1.51
MAFECHAZ,,3.5
158.1,,0.13
158.1,,0.13
158.1,,0.13
890861,,1.25
890861,,1.25
MAMBASMV,,0.19
MAMBASMV,,0.19
158.1,,0.13
889590,,1.51
895767,,2.77
158.1,,0.13
889590,,1.51
RJAP01038,,1.5
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
859650,,1.49
889590,,1.51
889590,,1.51
889590,,1.51
859650,,1.49
859650,,1.49
859650,,1.49
859650,,1.49
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
859650,,1.49
859650,,1.49
859650,,1.49
859650,,1.49
859650,,1.49
889590,,1.51
889590,,1.51
889590,,1.51
889590,,1.51
889590,,1.51
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
890861,,1.25
890861,,1.25
890861,,1.25
890861,,1.25
890861,,1.25
MAMBDVMV,,0.12
MAMBDVMV,,0.12
MAMBDVMV,,0.12
MAMBDVMV,,0.12
MAMBDVMV,,0.12
10530,,2.69
10530,,2.69
10530,,2.69
10530,,2.69
10530,,2.69
10530,,2.69
859650,,1.49
859650,,1.49
859650,,1.49
859650,,1.49
859650,,1.49
859650,,1.49
889590,,1.51
889590,,1.51
889590,,1.51
889590,,1.51
889590,,1.51
889590,,1.51
JY 1098,,2.02
JY 1098,,2.02
JY 1098,,2.02
JY 1098,,2.02
JY 1098,,2.02
JY 1098,,2.02
MAMBASMV,,0.19
MAMBASMV,,0.19
MAMBASMV,,0.19
MAMBASMV,,0.19
MAMBASMV,,0.19
MAMBASMV,,0.19
RJAP01038,,1.5
RJAP01038,,1.5
RJAP01038,,1.5
RJAP01038,,1.5
RJAP01038,,1.5
RJAP01038,,1.5
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
859650,,1.49
859650,,1.49
859650,,1.49
859650,,1.49
859650,,1.49
859650,,1.49
158.1,,0.13
158.1,,0.13
859650,,1.49
859650,,1.49
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
859650,,1.49
859650,,1.49
859650,,1.49
859650,,1.49
889590,,1.51
889590,,1.51
889590,,1.51
889590,,1.51
JY 1098,,2.02
JY 1098,,2.02
JY 1098,,2.02
JY 1098,,2.02
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
859650,,1.49
859650,,1.49
889590,,1.51
158.1,,0.13
158.1,,0.13
MAMBDIMV,,0.4
158.1,,0.13
MAMBDIMV,,0.4
158.1,,0.13
MAMBASMV,,0.19
MAMBASMV,,0.19
158.1,,0.13
158.1,,0.13
158.1,,0.13
MAMBDIMV,,0.4
MAMBDIMV,,0.4
859650,,1.49
889590,,1.51
RJAP01038,,1.5
859650,,1.49
889590,,1.51
MAMBDIMV,,0.4
1551,,0.4103
52531,,0.12
859650,,1.49
619205840061,,1.45
619205840061,,1.45
859650,,1.49
RJAP01038,,1.5
859650,,1.49
619205840061,,1.45
619205840061,,1.45
859650,,1.49
859650,,1.49
889590,,1.51
889590,,1.51
49427,,0.45
49427,,0.45
859650,,1.49
859650,,1.49
895767,,2.77
895767,,2.77
MAMBASMV,,0.19
MAMBASMV,,0.19
RJAP01038,,1.5
RJAP01038,,1.5
158.1,,0.13
859650,,1.49
889590,,1.51
MAMBDIMV,,0.4
MAMBDIMV,,0.4
MAMBDIMV,,0.4
MAMBDIMV,,0.4
158.1,,0.13
158.1,,0.13
1180,,0.27
1180,,0.27
158.1,,0.13
158.1,,0.13
41455,,0.16
41455,,0.16
49427,,0.45
49427,,0.45
MADOB7BIMA,,0.05
MADOB7BIMA,,0.05
1180,,0.27
1180,,0.27
158.1,,0.13
158.1,,0.13
52531,,0.12
52531,,0.12
MAMBDVMV,,0.12
MAMBDVMV,,0.12
MAMBDVMV,,0.12
MAMBDVMV,,0.12
158.1,,0.13
158.1,,0.13
MAMBDVMV,,0.12
MAMBDVMV,,0.12
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
859650,,1.49
MAMBASMV,,0.19
MAMBASMV,,0.19
MAMBDIMV,,0.4
MAMBDIMV,,0.4
158.1,,0.13
158.1,,0.13
MABRPC,,1.51
MABRPC,,1.51
158.1,,0.13
158.1,,0.13
158.1,,0.13
859650,,1.49
859650,,1.49
889590,,1.51
889590,,1.51
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
MAMBDVMV,,0.12
MAMBDVMV,,0.12
MAMBDVMV,,0.12
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
FEST01,,0.94
FEST01,,0.94
158.1,,0.13
158.1,,0.13
158.1,,0.13
MAMBASMV,,0.19
MAMBASMV,,0.19
MAMBASMV,,0.19
859650,,1.49
859650,,1.49
889590,,1.51
889590,,1.51
MAMBDIMV,,0.4
MAMBDIMV,,0.4
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
859650,,1.49
889590,,1.51
895767,,2.77
158.1,,0.13
158.1,,0.13
158.1,,0.13
MAMBDVMV,,0.12
MAMBDVMV,,0.12
MAMBDVMV,,0.12
MAMBDVMV,,0.12
MAMBTTMV,,0.22
MAMBTTMV,,0.22
158.1,,0.13
158.1,,0.13
859650,,1.49
859650,,1.49
39216,,8.99
52531,,0.12
859650,,1.49
889590,,1.51
158.1,,0.13
158.1,,0.13
MAMBDVMV,,0.12
MAMBDVMV,,0.12
158.1,,0.13
158.1,,0.13
859650,,1.49
859650,,1.49
MAMBDVMV,,0.12
MAMBDVMV,,0.12
859650,,1.49
889590,,1.51
MAMBDVMV,,0.12
MAMBDVMV,,0.12
MAMBTTMV,,0.22
MAMBTTMV,,0.22
MAMBDVMV,,0.12
MAMBDVMV,,0.12
MAMBDIMV,,0.4
158.1,,0.13
158.1,,0.13
MABRPC,,1.51
MABRPC,,1.51
MABRPC,,1.51
MABRPC,,1.51
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
MABRPC,,1.51
MABRPC,,1.51
MABRPC,,1.51
MABRPC,,1.51
MABRPC,,1.51
MABRPC,,1.51
MABRPC,,1.51
158.1,,0.13
158.1,,0.13
890861,,1.25
890861,,1.25
30519,,2.58
619205840061,,1.45
MABRPC,,1.51
RJAP01038,,1.5
30519,,2.58
30519,,2.58
30519,,2.58
619205840061,,1.45
619205840061,,1.45
619205840061,,1.45
889590,,1.51
889590,,1.51
889590,,1.51
JY 1098,,2.02
JY 1098,,2.02
JY 1098,,2.02
MABRCJP,,2.77
MABRCJP,,2.77
MABRCJP,,2.77
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
850773,,3.05
158.1,,0.13
859650,,1.49
MAMBASMV,,0.19
MAMBTTMV,,0.22
859650,,1.49
MAMBDIMV,,0.4
MAMBDIMV,,0.4
158.1,,0.13
158.1,,0.13
859650,,1.49
889590,,1.51
Transparente,,0.04
XU-1,,0.21
XU-1,,0.21
XU-1,,0.21
XU-1,,0.21
158.1,,0.13
158.1,,0.13
859650,,1.49
889590,,1.51
859650,,1.49
889590,,1.51
RJAP01038,,1.5
859650,,1.49
889590,,1.51
1180,,0.27
1551,,0.4103
50571,,0.19
52531,,0.12
158.1,,0.13
859650,,1.49
158.1,,0.13
158.1,,0.13
859650,,1.49
889590,,1.51
RJAP01038,,1.5
0108,,0.31
1551,,0.4103
889590,,1.51
619205840061,,1.45
158.1,,0.13
158.1,,0.13
158.1,,0.13
859650,,1.49
889590,,1.51
Transparente,,0.04
1551,,0.4103
1551,,0.4103
158.1,,0.13
158.1,,0.13
MADOB7BIMA,,0.05
MADOB7BIMA,,0.05
Transparente,,0.04
158.1,,0.13
158.1,,0.13
859650,,1.49
889590,,1.51
158.1,,0.13
158.1,,0.13
158.1,,0.13
859650,,1.49
859650,,1.49
889590,,1.51
889590,,1.51
0108,,0.31
0108,,0.31
0108,,0.31
1180,,0.27
1180,,0.27
1180,,0.27
1475,,0.27
1475,,0.27
1475,,0.27
158.1,,0.13
158.1,,0.13
158.1,,0.13
39216,,8.99
39216,,8.99
39216,,8.99
49427,,0.45
49427,,0.45
49427,,0.45
52531,,0.12
52531,,0.12
52531,,0.12
889590,,1.51
889590,,1.51
889590,,1.51
890861,,1.25
890861,,1.25
890861,,1.25
RJAP01038,,1.5
RJAP01038,,1.5
RJAP01038,,1.5
158.1,,0.13
158.1,,0.13
158.1,,0.13
859650,,1.49
859650,,1.49
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
859650,,1.49
859650,,1.49
859650,,1.49
859650,,1.49
889590,,1.51
MAMBDIMV,,0.4
RJAP01038,,1.5
158.1,,0.13
158.1,,0.13
MAMBDVMV,,0.12
MAMBDVMV,,0.12
158.1,,0.13
1180,,0.27
1180,,0.27
1180,,0.27
1180,,0.27
1551,,0.4103
1551,,0.4103
1551,,0.4103
1551,,0.4103
52531,,0.12
52531,,0.12
52531,,0.12
52531,,0.12
MADOB7BIMA,,0.05
MADOB7BIMA,,0.05
MADOB7BIMA,,0.05
MADOB7BIMA,,0.05
158.1,,0.13
859650,,1.49
10530,,2.69
619205840061,,1.45
859650,,1.49
619205840061,,1.45
619205840061,,1.45
859650,,1.49
859650,,1.49
889590,,1.51
889590,,1.51
158.1,,0.13
RJAP01038,,1.5
10530,,2.69
10530,,2.69
10530,,2.69
619205840061,,1.45
619205840061,,1.45
619205840061,,1.45
889590,,1.51
889590,,1.51
889590,,1.51
158.1,,0.13
889590,,1.51
158.1,,0.13
859650,,1.49
895767,,2.77
MAMBDIMV,,0.4
619205840061,,1.45
619205840061,,1.45
859650,,1.49
859650,,1.49
889590,,1.51
889590,,1.51
895767,,2.77
895767,,2.77
MABRDOT,,2.69
MABRDOT,,2.69
MABRPC,,1.51
MABRPC,,1.51
RJAP01038,,1.5
RJAP01038,,1.5
619205840061,,1.45
859650,,1.49
889590,,1.51
JY 1098,,2.02
158.1,,0.13
158.1,,0.13
158.1,,0.13
859650,,1.49
859650,,1.49
158.1,,0.13
859650,,1.49
889590,,1.51
MAMBDIMV,,0.4
859650,,1.49
859650,,1.49
889590,,1.51
889590,,1.51
158.1,,0.13
158.1,,0.13
859650,,1.49
859650,,1.49
859650,,1.49
889590,,1.51
889590,,1.51
158.1,,0.13
158.1,,0.13
158.1,,0.13
859650,,1.49
859650,,1.49
859650,,1.49
889590,,1.51
889590,,1.51
889590,,1.51
889590,,1.51
158.1,,0.13
158.1,,0.13
158.1,,0.13
619205840061,,1.45
859650,,1.49
889590,,1.51
895767,,2.77
JY 1098,,2.02
158.1,,0.13
158.1,,0.13
889590,,1.51
889590,,1.51
1475,,0.27
1551,,0.4103
39216,,8.99
49427,,0.45
50571,,0.19
859650,,1.49
889590,,1.51
895767,,2.77
MADOB7BIMA,,0.05
MAMBDIMV,,0.4
158.1,,0.13
158.1,,0.13
889590,,1.51
889590,,1.51
895767,,2.77
895767,,2.77
RJAP01038,,1.5
RJAP01038,,1.5
895767,,2.77
0108,,0.31
0108,,0.31
1180,,0.27
1180,,0.27
1551,,0.4103
1551,,0.4103
158.1,,0.13
158.1,,0.13
49427,,0.45
49427,,0.45
0108,,0.31
0108,,0.31
1475,,0.27
1475,,0.27
1551,,0.4103
1551,,0.4103
49427,,0.45
49427,,0.45
52531,,0.12
52531,,0.12
619205840061,,1.45
619205840061,,1.45
859650,,1.49
859650,,1.49
889590,,1.51
889590,,1.51
895767,,2.77
895767,,2.77
MADOB7BIMA,,0.05
MADOB7BIMA,,0.05
XU-1,,0.21
XU-1,,0.21
158.1,,0.13
158.1,,0.13
889590,,1.51
889590,,1.51
MAMBTTMV,,0.22
MAMBTTMV,,0.22
158.1,,0.13
Transparente,,0.04
158.1,,0.13
158.1,,0.13
158.1,,0.13
RJAP01038,,1.5
RJAP01038,,1.5
158.1,,0.13
MAMBDIMV,,0.4
158.1,,0.13
52531,,0.12
889590,,1.51
XU-1,,0.21
889590,,1.51
JY 1098,,2.02
JY 1098,,2.02
1180,,0.27
158.1,,0.13
49427,,0.45
52531,,0.12
890861,,1.25
MADOB7BIMA,,0.05
158.1,,0.13
859650,,1.49
RJAP01038,,1.5
859650,,1.49
889590,,1.51
RJAP01038,,1.5
JY 1098,,2.02
158.1,,0.13
859650,,1.49
MABRPC,,1.51
RJAP01038,,1.5
MAMBDIMV,,0.4
158.1,,0.13
MADOB7BIMA,,0.05
859650,,1.49
889590,,1.51
RJAP01038,,1.5
889590,,1.51
JY 1098,,2.02
158.1,,0.13
158.1,,0.13
859650,,1.49
MAMBDIMV,,0.4
889590,,1.51
158.1,,0.13
MAMBDIMV,,0.4
158.1,,0.13
889590,,1.51
RJAP01038,,1.5
158.1,,0.13
MAMBDIMV,,0.4
MAMBTTMV,,0.22
158.1,,0.13
859650,,1.49
889590,,1.51
895767,,2.77
158.1,,0.13
158.1,,0.13
859650,,1.49
889590,,1.51
RJAP01038,,1.5
Transparente,,0.04
10530,,2.69
619205840061,,1.45
895767,,2.77
MABRPC,,1.51
859650,,1.49
890861,,1.25
158.1,,0.13
49427,,0.45
50571,,0.19
52531,,0.12
895767,,2.77
JY 1098,,2.02
JY 1098,,2.02
RJAP01038,,1.5
859650,,1.49
889590,,1.51
158.1,,0.13
MAMBDIMV,,0.4
158.1,,0.13
619205840061,,1.45
859650,,1.49
MABRPC,,1.51
RJAP01038,,1.5
158.1,,0.13
889590,,1.51
158.1,,0.13
859650,,1.49
889590,,1.51
619205840061,,1.45
889590,,1.51
MABRPC,,1.51
158.1,,0.13
859650,,1.49
158.1,,0.13
158.1,,0.13
MAMBDIMV,,0.4
158.1,,0.13
49427,,0.45
50571,,0.19
52531,,0.12
895767,,2.77
JY 1098,,2.02
30519,,2.58
619205840061,,1.45
889590,,1.51
MABRPC,,1.51
RJAP01038,,1.5
889590,,1.51
MABRDOT,,2.69
RJAP01038,,1.5
0108,,0.31
1180,,0.27
1475,,0.27
52531,,0.12
889590,,1.51
889590,,1.51
RJAP01038,,1.5
859650,,1.49
158.1,,0.13
889590,,1.51
MAMBDIMV,,0.4
158.1,,0.13
MAMBDIMV,,0.4
158.1,,0.13
158.1,,0.13
859650,,1.49
JY 1098,,2.02
158.1,,0.13
158.1,,0.13
859650,,1.49
889590,,1.51
889590,,1.51
158.1,,0.13
MAMBDIMV,,0.4
MAMBTTMV,,0.22
158.1,,0.13
158.1,,0.13
MAMBDIMV,,0.4
158.1,,0.13
MAMBTTMV,,0.22
1180,,0.27
158.1,,0.13
52531,,0.12
859650,,1.49
895767,,2.77
158.1,,0.13
158.1,,0.13
158.1,,0.13
889590,,1.51
890861,,1.25
158.1,,0.13
859650,,1.49
158.1,,0.13
859650,,1.49
RJAP01038,,1.5
1551,,0.4103
27102,,0.05
49427,,0.45
52531,,0.12
158.1,,0.13
859650,,1.49
889590,,1.51
MABRPC,,1.51
158.1,,0.13
158.1,,0.13
859650,,1.49
158.1,,0.13
859650,,1.49
859650,,1.49
889590,,1.51
895767,,2.77
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
889590,,1.51
889590,,1.51
889590,,1.51
889590,,1.51
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
27102,,0.05
27102,,0.05
27102,,0.05
27102,,0.05
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
895767,,2.77
895767,,2.77
895767,,2.77
895767,,2.77
895767,,2.77
895767,,2.77
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
895767,,2.77
895767,,2.77
1180,,0.27
1180,,0.27
45516,,0.42
45516,,0.42
50571,,0.19
50571,,0.19
52531,,0.12
52531,,0.12
Transparente,,0.04
Transparente,,0.04
1180,,0.27
27102,,0.05
50571,,0.19
763,,0.13
1180,,0.27
1180,,0.27
158.1,,0.13
158.1,,0.13
27102,,0.05
27102,,0.05
41455,,0.16
41455,,0.16
52531,,0.12
52531,,0.12
573429,,0.05
573429,,0.05
Transparente,,0.04
Transparente,,0.04
1180,,0.27
1180,,0.27
1180,,0.27
1180,,0.27
27102,,0.05
27102,,0.05
27102,,0.05
27102,,0.05
45516,,0.42
45516,,0.42
45516,,0.42
45516,,0.42
49427,,0.45
49427,,0.45
49427,,0.45
49427,,0.45
50571,,0.19
50571,,0.19
50571,,0.19
50571,,0.19
763,,0.13
763,,0.13
763,,0.13
763,,0.13
Transparente,,0.04
Transparente,,0.04
Transparente,,0.04
Transparente,,0.04
1180,,0.27
45516,,0.42
49427,,0.45
50571,,0.19
52531,,0.12
Transparente,,0.04
158.1,,0.13
158.1,,0.13
889590,,1.51
889590,,1.51
889590,,1.51
